Barras	Linhas	Tipos_Linhas	#SE	VSE[kV]	Tipos_S/E
136	156	4	1	13.8	2

tipo	2

emax[W]	nimax
10	100

Tipos Linhas
Tipo	R	X	Imax	CF[k$/km]	CRx[k$/km]
0	0.3655	0.2520	400	70	60
1	0.2921	0.2466	450	80	70
2	0.2359	0.2402	600	100	80
3	0.1932	0.2279	650	110	90

Tipos S/E
Tipo	kVAmax	CF[$]	CV[$/A2]	CRep[$]
0	20000	400	0.0012	100

Subestações
Barra	Tipo	Construida	AtivaW
0	0	1	1

Dados Linhas
Envio	Recibo	Tipo	Longitude_[km]	Construida	Ativa
0	1	0.33205	0.76653	1	-1
1	2	0.00188	0.00433	1	-1
2	3	0.22324	0.51535	1	-1
3	4	0.09943	0.22953	1	-1
4	5	0.15571	0.35945	1	-1
5	6	0.16321	0.37677	1	-1
6	7	0.11444	0.26417	1	-1
6	8	0.05675	0.05666	1	-1
8	9	0.52124	0.27418	1	-1
8	10	0.10877	0.10860	1	-1
10	11	0.39803	0.20937	1	-1
10	12	0.91744	0.31469	1	-1
10	13	0.11823	0.11805	1	-1
13	14	0.50228	0.26421	1	-1
13	15	0.05675	0.05666	1	-1
15	16	0.29379	0.15454	1	-1
0	17	0.33205	0.76653	1	-1
17	18	0.00188	0.00433	1	-1
18	19	0.22324	0.51535	1	-1
19	20	0.10881	0.25118	1	-1
20	21	0.71078	0.37388	1	-1
20	22	0.18197	0.42008	1	-1
22	23	0.30326	0.15952	1	-1
22	24	0.02439	0.05630	1	-1
24	25	0.04502	0.10394	1	-1
25	26	0.01876	0.04331	1	-1
26	27	0.11823	0.11805	1	-1
27	28	0.02365	0.02361	1	-1
28	29	0.18954	0.09970	1	-1
29	30	0.39803	0.20937	1	-1
28	31	0.05675	0.05666	1	-1
31	32	0.09477	0.04985	1	-1
32	33	0.41699	0.21934	1	-1
33	34	0.11372	0.05982	1	-1
31	35	0.07566	0.07555	1	-1
35	36	0.36960	0.19442	1	-1
36	37	0.26536	0.13958	1	-1
35	38	0.05675	0.05666	1	-1
0	39	0.33205	0.76653	1	-1
39	40	0.11819	0.27283	1	-1
40	41	2.96288	1.01628	1	-1
40	42	0.00188	0.00433	1	-1
42	43	0.06941	0.16024	1	-1
43	44	0.81502	0.42872	1	-1
43	45	0.06378	0.14724	1	-1
45	46	0.13132	0.30315	1	-1
46	47	0.06191	0.14291	1	-1
47	48	0.11444	0.26417	1	-1
48	49	0.28374	0.28331	1	-1
49	50	0.28374	0.28331	1	-1
